itemPN,description,flavor,strength,price,wholesalePrice,inventoryCount,category
"PUXX-PEPPERMINT-16","Premium Tobacco-Free Nicotine Pouch, 16mg/pouch","Peppermint",16,24.99,18.99,1000,"nicotine-pouches"
"PUXX-CHERRY-16","Premium Tobacco-Free Nicotine Pouch, 16mg/pouch","Cherry",16,24.99,18.99,1000,"nicotine-pouches"
"PUXX-COLA-16","Premium Tobacco-Free Nicotine Pouch, 16mg/pouch","Cola",16,24.99,18.99,1000,"nicotine-pouches"
"PUXX-APPLE-MINT-16","Premium Tobacco-Free Nicotine Pouch, 16mg/pouch","Apple Mint",16,24.99,18.99,1000,"nicotine-pouches"
"PUXX-COOL-MINT-16","Premium Tobacco-Free Nicotine Pouch, 16mg/pouch","Cool Mint",16,24.99,18.99,1000,"nicotine-pouches"
"PUXX-SPEARMINT-16","Premium Tobacco-Free Nicotine Pouch, 16mg/pouch","Spearmint",16,24.99,18.99,1000,"nicotine-pouches"
"PUXX-WATERMELON-16","Premium Tobacco-Free Nicotine Pouch, 16mg/pouch","Watermelon",16,24.99,18.99,1000,"nicotine-pouches"
"PUXX-APPLE-MINT-22","Premium Tobacco-Free Nicotine Pouch, Extra Strong, 22mg/pouch","Apple Mint",22,29.99,23.99,1000,"nicotine-pouches"
